word_index	y_top	y_bottom	x_left	x_right	word
0	190	243	95	215	Climbing
1	190	243	215	345	harnesses
2	190	243	345	410	come
3	190	243	410	449	in
4	190	243	449	553	various
5	190	243	553	670	designs,
6	190	243	670	787	tailored
7	190	243	787	839	for
8	190	243	839	969	different
9	190	243	969	1047	types
10	190	243	1047	1090	of
11	243	293	95	228	climbers.
12	243	293	228	306	Sport
13	243	293	306	423	climbers
14	243	293	423	475	use
15	243	293	475	631	lightweight
16	243	293	631	761	harnesses
17	243	293	761	826	with
18	243	293	826	930	sewn-on
19	243	293	930	995	gear
20	243	293	995	1086	loops,
21	243	293	1086	1168	while
22	293	343	95	189	alpine
23	293	343	189	306	climbers
24	293	343	306	397	prefer
25	293	343	397	540	detachable
26	293	343	540	592	leg
27	293	343	592	670	loops
28	293	343	670	709	on
29	293	343	709	813	lighter
30	293	343	813	956	harnesses.
31	293	343	956	1008	Big
32	293	343	1008	1077	Wall
33	343	393	95	215	climbers
34	343	393	215	293	often
35	343	393	293	345	opt
36	343	393	345	397	for
37	343	393	397	488	padded
38	343	393	488	566	waist
39	343	393	566	644	belts
40	343	393	644	696	and
41	343	393	696	748	leg
42	343	393	748	839	loops.
43	343	393	839	891	For
44	343	393	891	1021	children,
45	343	393	1021	1086	full
46	343	393	1086	1155	body
47	393	443	95	228	harnesses
48	393	443	228	293	with
49	393	443	293	345	the
50	393	443	345	449	ability
51	393	443	449	488	to
52	393	443	488	553	move
53	393	443	553	631	their
54	393	443	631	696	legs
55	393	443	696	748	are
56	393	443	748	878	necessary
57	393	443	878	917	as
58	393	443	917	995	their
59	393	443	995	1112	pelvises
60	393	443	1112	1168	may
61	443	493	95	137	be
62	443	493	137	189	too
63	443	493	189	267	small
64	443	493	267	319	for
65	443	493	319	436	standard
66	443	493	436	579	harnesses.
67	443	493	579	644	They
68	443	493	644	696	can
69	443	493	696	800	prevent
70	443	493	800	878	falls
71	443	493	878	943	even
72	443	493	943	1008	when
73	443	493	1008	1142	inverted.
74	493	543	95	176	These
75	493	543	176	306	harnesses
76	493	543	306	358	can
77	493	543	358	397	be
78	493	543	397	527	specially
79	493	543	527	644	designed
80	493	543	644	696	for
81	493	543	696	813	children
82	493	543	813	852	or
83	493	543	852	1008	constructed
84	493	543	1008	1077	from
85	543	593	95	215	webbing.
86	543	593	215	254	In
87	543	593	254	397	situations
88	543	593	397	475	where
89	543	593	475	579	there's
90	543	593	579	605	a
91	543	593	605	670	risk
92	543	593	670	709	of
93	543	593	709	839	inverting
94	543	593	839	878	or
95	543	593	878	995	carrying
96	543	593	995	1073	heavy
97	543	593	1073	1168	loads,
98	593	643	95	163	full
99	593	643	163	228	body
100	593	643	228	358	harnesses
101	593	643	358	410	are
102	593	643	410	488	often
103	593	643	488	566	used.
104	593	643	566	644	Chest
105	593	643	644	774	harnesses
106	593	643	774	826	are
107	593	643	826	891	used
108	593	643	891	930	in
109	593	643	930	1086	combination
110	593	643	1086	1155	with
111	643	693	95	150	sit
112	643	693	150	297	harnesses.
