index,type,task,subcategory,prompt
item01,unconstrained,non-fiction,argument,Write a short paragraph about why you should not have both a pet cat and a pet bird.
item02,unconstrained,fiction,story,Write a short story about a person who discovers a hidden room in their house and about what kind of objects are in that room.
item03,unconstrained,non-fiction,argument,Discuss what is more important in our society: freedom or safety.
item04,unconstrained,non-fiction,argument,Write a funny and whimsical horoscope reading.
item05,unconstrained,non-fiction,argument,Discuss what is more important: Nature or Nurture.
item06,unconstrained,fiction,story,Tell me a story in a few sentences about food and how a few short words can make someone hungry.
item07,unconstrained,non-fiction,argument,What are your thoughts of Michael Jackson as a singer and person?
item08,unconstrained,non-fiction,description,Describe the sensation of taking a cold shower and explain the rationale for why someone might take one.
item09,unconstrained,non-fiction,description,Describe a recurring dream you've had.
item10,unconstrained,non-fiction,description,An apocalypse has eradicated humankind but for one person. Describe the feeling of being the last person on Earth.
item11,unconstrained,fiction,dialogue,"Write a dialogue between two hikers, John and Jane, who are lost in the woods and can't decide what to do."
item12,unconstrained,non-fiction,argument,What is a casual hobby that would be fun to get into?
item13,unconstrained,non-fiction,description,Describe the main differences between the Classical era and the Early Romantic era of Classical music.
item14,unconstrained,non-fiction,argument,"Explain the expression ""the days are long, and the years are short"" as it relates to raising children."
item15,unconstrained,fiction,monologue,"Write a monologue from the perspective of the CEO of TikTok, held in front of the Senate on why the US should not ban TikTok."
item16,unconstrained,non-fiction,description,The Earth has become unable to sustain human life. Describe the measures that have to be undertaken for mankind to live on Mars.
item17,unconstrained,poetry,poem,"Compose a poem about the inevitability of death in the style of Walt Whitman, with maximal eight lines."
item18,unconstrained,poetry,poem,"Write a free verse poem about the feeling of being nostalgic for a time that was both good and bad, with maximal eight lines."
item19,unconstrained,poetry,poem,"Compose a poem about unrequited love in the style of William Shakespeare, with maximal eight lines."
item20,unconstrained,poetry,poem,"Compose a poem about the beauty of the night sky, with maximal eight lines."
item21,unconstrained,poetry,poem,"Write a poem about the fleeting nature of time, using imagery from nature to illustrate your points. It should be maximally eight lines long."
item22,unconstrained,poetry,poem,"Craft a poem in the style of Petrarch exploring the agony of a love unreciprocated, with maximal eight lines."
item23,unconstrained,poetry,poem,"Write a modern poem about being with one person while slowly falling for a second person that one cannot have,  with maximal eight lines."
item24,unconstrained,fiction,dialogue,Create a dialogue between two characters who are meeting for the first time at a coffee shop.
item25,unconstrained,fiction,dialogue,"Write a dialogue between two characters who have opposing views on a controversial social issue, exploring their perspectives with depth and nuance."
item26,unconstrained,fiction,dialogue,"Craft a dialogue between a mentor and a mentee discussing the mentee's career goals, challenges, and the valuable advice offered by the experienced mentor."
item27,unconstrained,fiction,monologue,Create a monologue for a character reflecting on a life-altering decision.
