word_index	y_top	y_bottom	x_left	x_right	word
0	190	242	95	150	The
1	190	242	150	306	Underground
2	190	242	306	423	Railroad
3	190	242	423	475	was
4	190	242	475	501	a
5	190	242	501	605	network
6	190	242	605	644	of
7	190	242	644	735	secret
8	190	242	735	826	routes
9	190	242	826	878	and
10	190	242	878	943	safe
11	190	242	943	1034	houses
12	190	242	1034	1073	in
13	190	242	1073	1129	the
14	242	293	95	150	US,
15	242	293	150	306	established
16	242	293	306	345	in
17	242	293	345	397	the
18	242	293	397	462	18th
19	242	293	462	514	and
20	242	293	514	579	19th
21	242	293	579	722	centuries,
22	242	293	722	761	to
23	242	293	761	826	help
24	242	293	826	943	enslaved
25	242	293	943	1051	African
26	293	343	95	228	Americans
27	293	343	228	319	escape
28	293	343	319	358	to
29	293	343	358	423	free
30	293	343	423	514	states
31	293	343	514	566	and
32	293	343	566	670	Canada.
33	293	343	670	709	It
34	293	343	709	761	was
35	293	343	761	878	assisted
36	293	343	878	917	by
37	293	343	917	1099	abolitionists
38	293	343	1099	1155	and
39	343	392	95	189	others
40	343	392	189	345	sympathetic
41	343	392	345	384	to
42	343	392	384	436	the
43	343	392	436	527	cause.
44	343	392	527	579	The
45	343	392	579	683	network
46	343	392	683	787	existed
47	343	392	787	865	until
48	343	392	865	917	the
49	343	392	917	1090	Emancipation
50	392	443	95	267	Proclamation
51	392	443	267	306	in
52	392	443	306	384	1863,
53	392	443	384	436	and
54	392	443	436	475	an
55	392	443	475	605	estimated
56	392	443	605	709	100,000
57	392	443	709	826	enslaved
58	392	443	826	917	people
59	392	443	917	1021	escaped
60	392	443	1021	1060	to
61	392	443	1060	1168	freedom
62	443	496	95	202	through
63	443	496	202	258	it.
