word_index	y_top	y_bottom	x_left	x_right	word
0	190	243	95	228	Character
1	190	243	228	267	A:
2	190	243	267	293	I
3	190	243	293	358	just
4	190	243	358	436	can't
5	190	243	436	579	understand
6	190	243	579	631	why
7	190	243	631	722	you're
8	190	243	722	761	so
9	190	243	761	800	in
10	190	243	800	878	favor
11	190	243	878	917	of
12	190	243	917	969	gun
13	190	243	969	1086	control.
14	190	243	1086	1155	It's
15	243	293	95	163	like
16	243	293	163	254	you're
17	243	293	254	345	trying
18	243	293	345	384	to
19	243	293	384	449	take
20	243	293	449	514	away
21	243	293	514	566	our
22	243	293	566	644	right
23	243	293	644	683	to
24	243	293	683	748	bear
25	243	293	748	830	arms.
26	293	343	95	228	Character
27	293	343	228	267	B:
28	293	343	267	319	I'm
29	293	343	319	371	not
30	293	343	371	462	trying
31	293	343	462	501	to
32	293	343	501	566	take
33	293	343	566	631	away
34	293	343	631	748	anyone's
35	293	343	748	852	rights,
36	293	343	852	904	but
37	293	343	904	930	I
38	293	343	930	969	do
39	293	343	969	1073	believe
40	293	343	1073	1142	that
41	343	393	95	176	there
42	343	393	176	267	should
43	343	393	267	306	be
44	343	393	306	449	reasonable
45	343	393	449	618	restrictions
46	343	393	618	657	on
47	343	393	657	709	who
48	343	393	709	761	can
49	343	393	761	813	buy
50	343	393	813	839	a
51	343	393	839	891	gun
52	343	393	891	943	and
53	343	393	943	995	how
54	343	393	995	1060	they
55	343	393	1060	1112	can
56	343	393	1112	1168	use
57	393	441	95	154	it.
58	441	493	95	228	Character
59	441	493	228	267	A:
60	441	493	267	319	But
61	441	493	319	384	what
62	441	493	384	462	about
63	441	493	462	514	the
64	441	493	514	605	Second
65	441	493	605	748	Amendment?
66	441	493	748	787	It
67	441	493	787	852	says
68	441	493	852	891	we
69	441	493	891	956	have
70	441	493	956	1008	the
71	441	493	1008	1086	right
72	441	493	1086	1129	to
73	493	543	95	163	keep
74	493	543	163	215	and
75	493	543	215	280	bear
76	493	543	280	358	arms.
77	493	543	358	423	That
78	493	543	423	540	includes
79	493	543	540	644	assault
80	493	543	644	748	weapons
81	493	543	748	800	and
82	493	543	800	982	high-capacity
83	493	543	982	1129	magazines.
84	543	593	95	228	Character
85	543	593	228	267	B:
86	543	593	267	332	Yes,
87	543	593	332	384	but
88	543	593	384	423	we
89	543	593	423	488	also
90	543	593	488	553	have
91	543	593	553	631	other
92	543	593	631	774	amendments
93	543	593	774	839	that
94	543	593	839	943	protect
95	543	593	943	995	our
96	543	593	995	1086	rights
97	543	593	1086	1129	to
98	593	646	95	176	life,
99	593	646	176	293	liberty,
100	593	646	293	345	and
101	593	646	345	479	property.
