word_index	y_top	y_bottom	x_left	x_right	word
0	190	241	95	189	Alfred
1	190	241	189	267	Nobel
2	190	241	267	319	was
3	190	241	319	345	a
4	190	241	345	449	Swedish
5	190	241	449	553	chemist
6	190	241	553	605	and
7	190	241	605	722	inventor
8	190	241	722	774	who
9	190	241	774	813	is
10	190	241	813	878	best
11	190	241	878	956	known
12	190	241	956	1008	for
13	190	241	1008	1064	his
14	241	293	95	228	invention
15	241	293	228	267	of
16	241	293	267	397	dynamite.
17	241	293	397	436	He
18	241	293	436	488	was
19	241	293	488	592	awarded
20	241	293	592	644	the
21	241	293	644	722	Nobel
22	241	293	722	800	Prize
23	241	293	800	839	in
24	241	293	839	969	Chemistry
25	241	293	969	1008	in
26	241	293	1008	1073	1895
27	241	293	1073	1129	for
28	293	343	95	150	his
29	293	343	150	332	contributions
30	293	343	332	371	to
31	293	343	371	423	the
32	293	343	423	501	field
33	293	343	501	540	of
34	293	343	540	683	chemistry.
35	293	343	683	787	Nobel's
36	293	343	787	917	invention
37	293	343	917	956	of
38	293	343	956	1077	dynamite
39	343	393	95	293	revolutionized
40	343	393	293	345	the
41	343	393	345	436	mining
42	343	393	436	553	industry
43	343	393	553	605	and
44	343	393	605	657	had
45	343	393	657	683	a
46	343	393	683	839	significant
47	343	393	839	930	impact
48	343	393	930	969	on
49	343	393	969	1086	warfare.
50	343	393	1086	1142	His
51	393	446	95	189	legacy
52	393	446	189	228	as
53	393	446	228	254	a
54	393	446	254	384	scientist
55	393	446	384	436	and
56	393	446	436	553	inventor
57	393	446	553	683	continues
58	393	446	683	722	to
59	393	446	722	761	be
60	393	446	761	904	celebrated
61	393	446	904	999	today.
