word_index	y_top	y_bottom	x_left	x_right	word
0	190	243	95	137	In
1	190	243	137	189	the
2	190	243	189	293	gardens
3	190	243	293	332	of
4	190	243	332	384	the
5	190	243	384	462	mind,
6	190	243	462	540	where
7	190	243	540	657	thoughts
8	190	243	657	696	do
9	190	243	696	774	bloom
10	190	243	774	826	and
11	190	243	826	908	fade,
12	243	293	95	124	A
13	243	293	124	189	tiny
14	243	293	189	280	flower
15	243	293	280	319	of
16	243	293	319	423	wisdom,
17	243	293	423	462	in
18	243	293	462	514	the
19	243	293	514	579	dust
20	243	293	579	631	was
21	243	293	631	713	laid.
22	293	343	95	124	A
23	293	343	124	215	gentle
24	293	343	215	306	breeze
25	293	343	306	345	of
26	293	343	345	436	truth,
27	293	343	436	475	it
28	293	343	475	566	gently
29	293	343	566	674	swayed,
30	343	418	95	137	In
31	343	418	137	189	the
32	343	418	189	267	dance
33	343	418	267	306	of
34	343	418	306	384	life,
35	343	418	384	423	it
36	343	418	423	501	chose
37	343	418	501	540	to
38	343	418	540	622	play.
39	418	492	95	189	Amidst
40	418	492	189	241	the
41	418	492	241	319	chaos
42	418	492	319	358	of
43	418	492	358	501	existence,
44	418	492	501	540	it
45	418	492	540	618	stood
46	418	492	618	657	so
47	418	492	657	752	still,
48	492	543	95	150	Its
49	492	543	150	241	petals
50	492	543	241	319	soft,
51	492	543	319	371	its
52	492	543	371	449	scent
53	492	543	449	488	so
54	492	543	488	566	sweet
55	492	543	566	618	and
56	492	543	618	713	chill.
57	543	593	95	137	In
58	543	593	137	189	the
59	543	593	189	293	silence
60	543	593	293	332	of
61	543	593	332	384	the
62	543	593	384	462	soul,
63	543	593	462	501	it
64	543	593	501	631	whispered
65	543	593	631	683	its
66	543	593	683	765	tale,
67	593	646	95	137	Of
68	593	646	137	189	the
69	593	646	189	280	beauty
70	593	646	280	371	that's
71	593	646	371	475	hidden,
72	593	646	475	514	in
73	593	646	514	566	the
74	593	646	566	631	most
75	593	646	631	748	ordinary
76	593	646	748	830	veil.
