word_index	y_top	y_bottom	x_left	x_right	word
0	190	243	95	124	A
1	190	243	124	228	rainbow
2	190	243	228	267	is
3	190	243	267	293	a
4	190	243	293	397	natural
5	190	243	397	540	phenomenon
6	190	243	540	605	that
7	190	243	605	709	appears
8	190	243	709	774	when
9	190	243	774	891	sunlight
10	190	243	891	930	is
11	190	243	930	1077	refracted,
12	243	293	95	241	reflected,
13	243	293	241	293	and
14	243	293	293	423	dispersed
15	243	293	423	462	in
16	243	293	462	540	water
17	243	293	540	657	droplets
18	243	293	657	696	in
19	243	293	696	748	the
20	243	293	748	813	sky.
21	243	293	813	852	It
22	243	293	852	930	forms
23	243	293	930	956	a
24	243	293	956	1129	multicolored
25	293	343	95	150	arc
26	293	343	150	215	that
27	293	343	215	254	is
28	293	343	254	358	usually
29	293	343	358	423	seen
30	293	343	423	462	as
31	293	343	462	488	a
32	293	343	488	553	full
33	293	343	553	657	circle,
34	293	343	657	709	but
35	293	343	709	761	the
36	293	343	761	878	observer
37	293	343	878	943	only
38	293	343	943	1008	sees
39	293	343	1008	1034	a
40	293	343	1034	1142	portion
41	343	393	95	137	of
42	343	393	137	189	it.
43	343	393	189	241	The
44	343	393	241	332	colors
45	343	393	332	371	of
46	343	393	371	397	a
47	343	393	397	501	primary
48	343	393	501	605	rainbow
49	343	393	605	657	are
50	343	393	657	709	red
51	343	393	709	748	on
52	343	393	748	800	the
53	343	393	800	904	outside
54	343	393	904	956	and
55	343	393	956	1047	violet
56	343	393	1047	1086	on
57	343	393	1086	1142	the
58	393	442	95	202	inside,
59	393	442	202	280	while
60	393	442	280	306	a
61	393	442	306	397	double
62	393	442	397	501	rainbow
63	393	442	501	553	has
64	393	442	553	605	the
65	393	442	605	696	colors
66	393	442	696	813	reversed
67	393	442	813	878	with
68	393	442	878	930	red
69	393	442	930	969	on
70	393	442	969	1021	the
71	393	442	1021	1129	inside.
72	442	493	95	163	This
73	442	493	163	254	occurs
74	442	493	254	358	because
75	442	493	358	410	the
76	442	493	410	488	light
77	442	493	488	527	is
78	442	493	527	657	reflected
79	442	493	657	735	twice
80	442	493	735	826	inside
81	442	493	826	878	the
82	442	493	878	982	droplet
83	442	493	982	1077	before
84	493	546	95	202	leaving
85	493	546	202	258	it.
