item_id,introductory_screen_item,prompt
item01,A short paragraph about why you should not have both a pet cat and a pet bird.,<s>[INST] Write a short paragraph about why you should not have both a pet cat and a pet bird. [/INST]
item02,A short story about a person who discovers a hidden room in their house.,<s>[INST] Write a short story about a person who discovers a hidden room in their house and about what kind of objects are in that room. [/INST]
item14,"An explanation of the expression ‘the days are long, and the years are short’ as it relates to raising children.","<s>[INST] Explain the expression ""the days are long, and the years are short"" as it relates to raising children. [/INST]"
item05,A discussion about what is more important: Nature or Nurture.,<s>[INST] Discuss what is more important: Nature or Nurture. [/INST]
item06,A story in a few sentences about food and how a few short words can make someone hungry.,<s>[INST] Tell me a story in a few sentences about food and how a few short words can make someone hungry. [/INST]
item08,A description of the sensation of taking a cold shower and the rationale for why someone might take one.,<s>[INST] Describe the sensation of taking a cold shower and explain the rationale for why someone might take one. [/INST]
item11,"A dialogue between two hikers, John and Jane, who are lost in the woods and can't decide what to do.","<s>[INST] Write a dialogue between two hikers, John and Jane, who are lost in the woods and can't decide what to do. [/INST]"
item13,A description of the main differences between the Classical era and the Early Romantic era of Classical music. ,<s>[INST] Describe the main differences between the Classical era and the Early Romantic era of Classical music. [/INST]
item18,A free verse poem about the feeling of being nostalgic for a time that was both good and bad.,"<s>[INST] Write a free verse poem about the feeling of being nostalgic for a time that was both good and bad, with maximal eight lines. [/INST]"
item20,A poem about the beauty of the night sky.,"<s>[INST] Compose a poem about the beauty of the night sky, with maximal eight lines. [/INST]"
item22,A poem in the style of Petrarch exploring the agony of a love unreciprocated.,"<s>[INST] Craft a poem in the style of Petrarch exploring the agony of a love unreciprocated, with maximal eight lines. [/INST]"
item25,A dialogue between two characters who have opposing views on a controversial social issue.,"<s>[INST] Write a dialogue between two characters who have opposing views on a controversial social issue, exploring their perspectives with depth and nuance. [/INST]"
item29,A description of a futuristic city. ,"<s>[INST] Create a description of a futuristic city, highlighting its architecture, technology, and social structure. [/INST]"
item34,A description of the different types of harnesses used for climbing.,"<s>[INST] Summarize the following text:\n\nDifferent types of climbing warrant particular features for harnesses. Sport climbers typically use minimalistic harnesses, some with sewn-on gear loops. Alpine climbers often choose lightweight harnesses, perhaps with detachable leg loops. Big Wall climbers generally prefer padded waist belts and leg loops. There are also full body harnesses for children, whose pelvises may be too narrow to support a standard harness safely. These harnesses prevent children from falling even when inverted, and are either manufactured for children or constructed out of webbing. Some climbers use full body harnesses when there is a chance of inverting, or when carrying a heavy bag. There are also chest harnesses, which are used only in combination with a sit harness. Test results from UIAA show that chest harnesses do not put more impact on the neck than sit harnesses, giving them the same advantages as full body harness.\nApart from these harnesses, there are also caving and canyoning harnesses, which all serve different purposes. For example, a caving harness is made of tough waterproof and unpadded material, with dual attachment points. Releasing the maillon from these attachment points loosens the harness quickly.\nCanyoning harnesses are somewhat like climbing harnesses, often without the padding, but with a seat protector, making it more comfortable to rappel. These usually have a single attachment point of Dyneema. [/INST]"
item35,A description of the social media platform LinkedIn.,"<s>[INST] Summarize the following text:\n\nLinkedIn is a business and employment-focused social media platform that works through websites and mobile apps. It launched on May 5, 2003. It is now owned by Microsoft. The platform is primarily used for professional networking and career development, and allows jobseekers to post their CVs and employers to post jobs. From 2015 most of the company's revenue came from selling access to information about its members to recruiters and sales professionals. Since December 2016, it has been a wholly owned subsidiary of Microsoft. As of March 2023, LinkedIn has more than 900 million registered members from over 200 countries and territories.\nLinkedIn allows members (both workers and employers) to create profiles and connect with each other in an online social network which may represent real-world professional relationships. Members can invite anyone (whether an existing member or not) to become a connection. LinkedIn can also be used to organize offline events, join groups, write articles, publish job postings, post photos and videos, and more. [/INST]"
item40,A description of the rainbow as phenomenon.,"<s>[INST] Summarize the following text:\n\nA rainbow is an optical phenomenon that can occur under certain meteorological conditions. It is caused by reflection, refraction and dispersion of light in water droplets resulting in an effect similar to a spectrum of light appearing in the sky. It takes the form of a multicoloured circular arc. Rainbows caused by sunlight always appear in the section of sky directly opposite the Sun.\nRainbows can be full circles. However, the observer normally sees only an arc formed by illuminated droplets above the ground, and centered on a line from the Sun to the observer's eye.\nIn a primary rainbow, the arc shows red on the outer part and violet on the inner side. This rainbow is caused by light being refracted when entering a droplet of water, then reflected inside on the back of the droplet and refracted again when leaving it.\nIn a double rainbow, a second arc is seen outside the primary arc, and has the order of its colours reversed, with red on the inner side of the arc. This is caused by the light being reflected twice on the inside of the droplet before leaving it. [/INST]"
item41,A text on the Byzantine Empire.,"<s>[INST] Summarize the following text:\n\nThe Byzantine Empire, also referred to as the Eastern Roman Empire or Byzantium, was the continuation of the Roman Empire primarily in its eastern provinces during Late Antiquity and the Middle Ages, when its capital city was Constantinople. It survived the fragmentation and fall of the Western Roman Empire in the 5th century AD and continued to exist for an additional thousand years until the fall of Constantinople to the Ottoman Empire in 1453. During most of its existence, the empire remained the most powerful economic, cultural, and military force in Europe. The terms ""Byzantine Empire"" and ""Eastern Roman Empire"" were coined after the end of the realm; its citizens continued to refer to their empire as the Roman Empire and to themselves as Romans[note 2]—a term which Greeks continued to use for themselves into Ottoman times. Although the Roman state continued and its traditions were maintained, modern historians prefer to differentiate the Byzantine Empire from Ancient Rome as it was centered on Constantinople instead of Rome, oriented towards Greek rather than Latin culture, and was characterized by Eastern Orthodox Christianity. [/INST]"
item43,A text on the Manhattan Project.,"<s>[INST] Summarize the following text:\n\nThe Manhattan Project was a research and development undertaking during World War II that produced the first nuclear weapons. It was led by the United States with the support of the United Kingdom and Canada. From 1942 to 1946, the project was under the direction of Major General Leslie Groves of the U.S. Army Corps of Engineers. Nuclear physicist Robert Oppenheimer was the director of the Los Alamos Laboratory that designed the actual bombs. The Army component of the project was designated the Manhattan District as its first headquarters were in Manhattan; the placename gradually superseded the official codename, Development of Substitute Materials, for the entire project. Along the way, the project absorbed its earlier British counterpart, Tube Alloys. The Manhattan Project began modestly in 1939, but grew to employ nearly 130,000 people at its peak and cost nearly US$2 billion (equivalent to about $24 billion in 2021). Over 90 percent of the cost was for building factories and to produce fissile material, with less than 10 percent for development and production of the weapons. Research and production took place at more than thirty sites across the United States, the United Kingdom, and Canada.\nThe project led to the development of two types of atomic bombs, both developed concurrently, during the war: a relatively simple gun-type fission weapon and a more complex implosion-type nuclear weapon. The Thin Man gun-type design proved impractical to use with plutonium, so a simpler gun-type design called Little Boy was developed that used uranium-235, an isotope that makes up only 0.7 percent of natural uranium. Because it is chemically identical to the most common isotope, uranium-238, and has almost the same mass, separating the two proved difficult. Three methods were employed for uranium enrichment: electromagnetic, gaseous and thermal. Most of this work was carried out at the Clinton Engineer Works at Oak Ridge, Tennessee.\n\nIn parallel with the work on uranium was an effort to produce plutonium, which researchers at the University of California, Berkeley, discovered in 1940. After the feasibility of the world's first artificial nuclear reactor, the Chicago Pile-1, was demonstrated in 1942 at the Metallurgical Laboratory in the University of Chicago, the project designed the X-10 Graphite Reactor at Oak Ridge and the production reactors at the Hanford Site in Washington state, in which uranium was irradiated and transmuted into plutonium. The plutonium was then chemically separated from the uranium, using the bismuth phosphate process. The Fat Man plutonium implosion-type weapon was developed in a concerted design and development effort by the Los Alamos Laboratory.\nThe project was also charged with gathering intelligence on the German nuclear weapon project. Through Operation Alsos, Manhattan Project personnel served in Europe, sometimes behind enemy lines, where they gathered nuclear materials and documents, and rounded up German scientists. Despite the Manhattan Project's tight security, Soviet atomic spies successfully penetrated the program. [/INST]"
item45,An article about the New York City Ballet.,"<s>[INST] Write an article based on the following synopsis. You are free to invent names, places, and dates not given in the synopsis, so please do not include placeholders.\n\nThe New York City Ballet Board of Directors appoints an interim team to oversee the artistic aspects of the company during ballet master in chief Peter Martins' leave of absence amid an internal investigation into sexual harassment accusations. [/INST]"
item46,An article about Syrian refugees in Istanbul.,"<s>[INST] Write an article based on the following synopsis. You are free to invent names, places, and dates not given in the synopsis, so please do not include placeholders.\n\nSyrian refugees in Istanbul, Turkey, face challenges in integration as xenophobia rises, with many working off the books due to slow implementation of official employment programs and fears of wage competition, while political and cultural differences hinder the regularization process despite government efforts to grant work permits and equal benefits. [/INST]"
item47,An article about an action of the Trump administration.,"<s>[INST] Write an article based on the following synopsis. You are free to invent names, places, and dates not given in the synopsis, so please do not include placeholders.\n\nThe Trump administration extends the deadline for insurance companies to decide on Affordable Care Act plans, amid uncertainty over President Trump's commitment to cost-sharing reduction payments, as insurers face potential discontinuation of reimbursements for required discounts to low-income customers. [/INST]"
item48,An article about executions in Arkansas.,"<s>[INST] Write an article based on the following synopsis. You are free to invent names, places, and dates not given in the synopsis, so please do not include placeholders.\n\nArkansas faces legal obstacles in executing eight inmates over 11 days due to drug expiration, with state and federal judges blocking the process citing concerns over drug acquisition and the risk of suffering during midazolam-based executions; the state appeals, seeking a quick resolution. [/INST]"
item49,An article about an aspiring astronaut.,"<s>[INST] Write an article based on the following synopsis. You are free to invent names, places, and dates not given in the synopsis, so please do not include placeholders.\n\nU.S. citizen and aspiring astronaut, 16-year-old Murad Rahimov from Uzbekistan, fulfills his dream with a NASA tour; guided by astrophysicist Jeremy Schnittman, he engages with scientists at the Goddard Space Flight Center, taking a step closer to his passion for space exploration. [/INST]"
item51,A text about the French philosopher Auguste Comte.,"<s>[INST] Write a text that uses all of the following words:\n\naltruism, selflessness, Auguste Comte, reciprocity, biological observations. [/INST]"
item52,A text about Alfred Bernhard Nobel.,"<s>[INST] Write a text that uses all of the following words:\n\nAlfred Bernhard Nobel, Swedish chemist, inventor, Nobel Prize, dynamite invention [/INST]"
item53,A text about initial public offerings.,"<s>[INST] Write a text that uses all of the following words:\n\ninitial public offering, IPO, investment banks, free float, prospectus [/INST]"
item55,A text about the United States as consumer economy.,"<s>[INST] Write a text that uses all of the following words:\n\nconsumer economy, GDP, United States, consumer revolution [/INST]"
item59,A discussion about whether or not competition is healthy.,<s>[INST] Write about whether or not competition is healthy. [/INST]
item68,A discussion about the possible use cases of AI in government.,"Discuss the possible use cases of AI in government, as well as possible dangers."
item69,A discussion about the necessary changes for a reversed Industrial Revolution.,Discuss which economic and societal changes would have to happen for the Industrial Revolution to happen in reverse.
item71,A description of the measures that have to be undertaken for mankind to live on Mars.,"In a hypothetical scenario, the Earth has become unable to sustain human life. Provide a general description of the measures that have to be undertaken for mankind to live on Mars."
item74,A description of what the last remaining cities might look like after a nuclear war.,"In a hypothetical scenario, the world has experienced a nuclear war. Provide a general description of what the last remaining cities might look like and how they might function."
item75,A short story about a young boy who has a hidden superpower.,Write a short story about a young boy who has a hidden superpower and who one day saves a classmate from harm.
item80,A dialogue between a piano teacher and a student.,"Create a dialogue between a piano teacher and a student, where the piano teacher tries to convince his student that Mozart is not as shallow as the student believes."
item83,A poem in the style of William Blake.,"Write a poem in the style of William Blake, with maximally eight lines."
