word_index	y_top	y_bottom	x_left	x_right	word
0	190	243	95	137	In
1	190	243	137	189	the
2	190	243	189	319	aftermath
3	190	243	319	358	of
4	190	243	358	384	a
5	190	243	384	488	nuclear
6	190	243	488	553	war,
7	190	243	553	605	the
8	190	243	605	670	last
9	190	243	670	800	remaining
10	190	243	800	891	cities
11	190	243	891	969	would
12	190	243	969	1060	likely
13	190	243	1060	1103	be
14	243	293	95	202	greatly
15	243	293	202	319	impacted
16	243	293	319	358	by
17	243	293	358	410	the
18	243	293	410	566	devastation
19	243	293	566	657	caused
20	243	293	657	696	by
21	243	293	696	748	the
22	243	293	748	891	explosions
23	243	293	891	943	and
24	243	293	943	1090	subsequent
25	293	343	95	215	fallout.
26	293	343	215	267	The
27	293	343	267	384	physical
28	293	343	384	527	appearance
29	293	343	527	566	of
30	293	343	566	644	these
31	293	343	644	735	cities
32	293	343	735	813	would
33	293	343	813	904	depend
34	293	343	904	943	on
35	293	343	943	1047	various
36	293	343	1047	1155	factors
37	343	417	95	163	such
38	343	417	163	202	as
39	343	417	202	254	the
40	343	417	254	384	location,
41	343	417	384	462	size,
42	343	417	462	514	and
43	343	417	514	605	nature
44	343	417	605	644	of
45	343	417	644	696	the
46	343	417	696	800	nuclear
47	343	417	800	921	attacks.
48	417	493	95	189	Cities
49	417	493	189	254	that
50	417	493	254	319	were
51	417	493	319	436	directly
52	417	493	436	488	hit
53	417	493	488	527	by
54	417	493	527	631	nuclear
55	417	493	631	709	bombs
56	417	493	709	787	would
57	417	493	787	878	likely
58	417	493	878	943	have
59	417	493	943	1021	large
60	417	493	1021	1099	areas
61	417	493	1099	1142	of
62	493	543	95	267	destruction,
63	493	543	267	332	with
64	493	543	332	462	buildings
65	493	543	462	514	and
66	493	543	514	709	infrastructure
67	493	543	709	813	reduced
68	493	543	813	852	to
69	493	543	852	956	rubble.
70	493	543	956	1034	There
71	493	543	1034	1112	would
72	493	543	1112	1155	be
73	543	593	95	241	widespread
74	543	593	241	332	fires,
75	543	593	332	488	explosions,
76	543	593	488	540	and
77	543	593	540	696	radioactive
78	543	593	696	891	contamination.
79	543	593	891	943	The
80	543	593	943	1073	landscape
81	543	593	1073	1155	would
82	593	643	95	137	be
83	593	643	137	241	scarred
84	593	643	241	306	with
85	593	643	306	423	craters,
86	593	643	423	501	blast
87	593	643	501	592	zones,
88	593	643	592	644	and
89	593	643	644	800	radioactive
90	593	643	800	930	hotspots.
91	593	643	930	1060	Survivors
92	593	643	1060	1142	would
93	643	693	95	163	have
94	643	693	163	202	to
95	643	693	202	319	navigate
96	643	693	319	423	through
97	643	693	423	488	this
98	643	693	488	618	dangerous
99	643	693	618	787	environment,
100	643	693	787	891	dealing
101	643	693	891	956	with
102	643	693	956	1090	hazardous
103	693	746	95	241	materials,
104	693	746	241	358	unstable
105	693	746	358	514	structures,
106	693	746	514	566	and
107	693	746	566	696	potential
108	693	746	696	826	radiation
109	693	746	826	960	sickness.
