word_index	y_top	y_bottom	x_left	x_right	word
0	190	243	95	189	Nature
1	190	243	189	241	and
2	190	243	241	345	nurture
3	190	243	345	397	are
4	190	243	397	449	two
5	190	243	449	605	fundamental
6	190	243	605	709	aspects
7	190	243	709	748	of
8	190	243	748	826	human
9	190	243	826	995	development,
10	190	243	995	1047	and
11	190	243	1047	1086	it
12	190	243	1086	1142	has
13	243	293	95	163	been
14	243	293	163	189	a
15	243	293	189	358	longstanding
16	243	293	358	449	debate
17	243	293	449	527	among
18	243	293	527	670	scientists
19	243	293	670	722	and
20	243	293	722	891	philosophers
21	243	293	891	969	about
22	243	293	969	1047	which
23	243	293	1047	1099	one
24	243	293	1099	1142	is
25	293	343	95	163	more
26	293	343	163	306	important.
27	293	343	306	371	Both
28	293	343	371	462	nature
29	293	343	462	514	and
30	293	343	514	618	nurture
31	293	343	618	683	play
32	293	343	683	800	critical
33	293	343	800	878	roles
34	293	343	878	917	in
35	293	343	917	1021	shaping
36	293	343	1021	1073	who
37	293	343	1073	1116	we
38	343	393	95	163	are,
39	343	393	163	215	but
40	343	393	215	293	their
41	343	393	293	410	relative
42	343	393	410	553	importance
43	343	393	553	644	varies
44	343	393	644	774	depending
45	343	393	774	813	on
46	343	393	813	865	the
47	343	393	865	969	context
48	343	393	969	1025	and
49	393	468	95	271	perspective.
50	468	543	95	189	Nature
51	468	543	189	280	refers
52	468	543	280	319	to
53	468	543	319	371	the
54	468	543	371	475	genetic
55	468	543	475	527	and
56	468	543	527	670	biological
57	468	543	670	774	factors
58	468	543	774	839	that
59	468	543	839	969	determine
60	468	543	969	1021	our
61	468	543	1021	1142	physical
62	543	593	95	150	and
63	543	593	150	241	mental
64	543	593	241	345	makeup.
65	543	593	345	410	This
66	543	593	410	527	includes
67	543	593	527	579	our
68	543	593	579	644	DNA,
69	543	593	644	696	the
70	543	593	696	826	chemicals
71	543	593	826	878	and
72	543	593	878	995	hormones
73	543	593	995	1064	that
74	593	643	95	228	influence
75	593	643	228	280	our
76	593	643	280	358	brain
77	593	643	358	527	development,
78	593	643	527	579	and
79	593	643	579	631	the
80	593	643	631	748	physical
81	593	643	748	904	environment
82	593	643	904	969	that
83	593	643	969	1008	we
84	593	643	1008	1060	are
85	593	643	1060	1129	born
86	643	693	95	176	into.
87	643	693	176	228	For
88	643	693	228	345	example,
89	643	693	345	397	our
90	643	693	397	501	height,
91	643	693	501	553	eye
92	643	693	553	644	color,
93	643	693	644	696	and
94	643	693	696	891	susceptibility
95	643	693	891	930	to
96	643	693	930	1034	certain
97	643	693	1034	1155	diseases
98	693	746	95	150	are
99	693	746	150	202	all
100	693	746	202	345	determined
101	693	746	345	384	by
102	693	746	384	436	our
103	693	746	436	540	genetic
104	693	746	540	648	makeup.
