word_index	y_top	y_bottom	x_left	x_right	word
0	190	243	95	150	The
1	190	243	150	280	Manhattan
2	190	243	280	384	Project
3	190	243	384	436	was
4	190	243	436	462	a
5	190	243	462	553	US-led
6	190	243	553	644	effort
7	190	243	644	683	to
8	190	243	683	787	develop
9	190	243	787	891	nuclear
10	190	243	891	995	weapons
11	190	243	995	1086	during
12	190	243	1086	1168	World
13	243	293	95	150	War
14	243	293	150	202	II.
15	243	293	202	241	It
16	243	293	241	358	produced
17	243	293	358	410	two
18	243	293	410	488	types
19	243	293	488	527	of
20	243	293	527	618	bombs,
21	243	293	618	696	using
22	243	293	696	800	uranium
23	243	293	800	852	and
24	243	293	852	995	plutonium,
25	243	293	995	1047	and
26	243	293	1047	1116	also
27	293	346	95	228	conducted
28	293	346	228	345	research
29	293	346	345	384	on
30	293	346	384	488	nuclear
31	293	346	488	605	reactors
32	293	346	605	657	and
33	293	346	657	804	espionage.
