word_index	y_top	y_bottom	x_left	x_right	word
0	190	243	95	137	In
1	190	243	137	189	the
2	190	243	189	280	garden
3	190	243	280	319	of
4	190	243	319	462	innocence,
5	190	243	462	540	where
6	190	243	540	592	the
7	190	243	592	683	lilies
8	190	243	683	778	bloom,
9	243	292	95	124	A
10	243	292	124	228	child's
11	243	292	228	306	heart
12	243	292	306	384	beats
13	243	292	384	449	with
14	243	292	449	553	wonder,
15	243	292	553	592	in
16	243	292	592	657	tune
17	243	292	657	722	with
18	243	292	722	774	the
19	243	292	774	869	broom.
20	292	343	95	150	The
21	292	343	150	228	sky's
22	292	343	228	332	canvas,
23	292	343	332	358	a
24	292	343	358	527	masterpiece,
25	292	343	527	631	painted
26	292	343	631	696	with
27	292	343	696	791	grace,
28	343	418	95	137	In
29	343	418	137	189	the
30	343	418	189	254	eyes
31	343	418	254	293	of
32	343	418	293	345	the
33	343	418	345	436	child,
34	343	418	436	462	a
35	343	418	462	540	world
36	343	418	540	605	full
37	343	418	605	644	of
38	343	418	644	739	space.
39	418	493	95	150	The
40	418	493	150	215	wind
41	418	493	215	332	whispers
42	418	493	332	449	secrets,
43	418	493	449	488	of
44	418	493	488	514	a
45	418	493	514	592	world
46	418	493	592	700	untold,
47	493	542	95	137	In
48	493	542	137	189	the
49	493	542	189	293	child's
50	493	542	293	358	ear,
51	493	542	358	462	stories
52	493	542	462	501	of
53	493	542	501	570	old.
54	542	593	95	150	The
55	542	593	150	228	sun's
56	542	593	228	293	warm
57	542	593	293	410	embrace,
58	542	593	410	436	a
59	542	593	436	579	comforting
60	542	593	579	687	friend,
61	593	645	95	137	In
62	593	645	137	189	the
63	593	645	189	293	child's
64	593	645	293	384	heart,
65	593	645	384	410	a
66	593	645	410	475	love
67	593	645	475	540	that
68	593	645	540	605	will
69	593	645	605	683	never
70	593	645	683	752	end.
