word_index	y_top	y_bottom	x_left	x_right	word
0	190	243	95	189	Title:
1	190	243	189	267	Murad
2	190	243	267	397	Rahimov's
3	190	243	397	475	Dream
4	190	243	475	592	Takeoff:
5	190	243	592	618	A
6	190	243	618	683	NASA
7	190	243	683	748	Tour
8	190	243	748	800	and
9	190	243	800	826	a
10	190	243	826	891	Step
11	190	243	891	995	Towards
12	190	243	995	1077	Space
13	243	317	95	258	Exploration
14	317	393	95	176	Murad
15	317	393	176	293	Rahimov,
16	317	393	293	319	a
17	317	393	319	475	16-year-old
18	317	393	475	618	Uzbekistan
19	317	393	618	709	native
20	317	393	709	774	with
21	317	393	774	800	a
22	317	393	800	904	passion
23	317	393	904	956	for
24	317	393	956	1047	space,
25	317	393	1047	1168	embarked
26	393	443	95	137	on
27	393	443	137	163	a
28	393	443	163	345	life-changing
29	393	443	345	449	journey
30	393	443	449	514	when
31	393	443	514	553	he
32	393	443	553	683	fulfilled
33	393	443	683	735	his
34	393	443	735	813	dream
35	393	443	813	852	of
36	393	443	852	969	visiting
37	393	443	969	1047	NASA.
38	393	443	1047	1086	As
39	393	443	1086	1129	he
40	443	493	95	202	stepped
41	443	493	202	267	into
42	443	493	267	319	the
43	443	493	319	423	Goddard
44	443	493	423	501	Space
45	443	493	501	592	Flight
46	443	493	592	696	Center,
47	443	493	696	735	he
48	443	493	735	787	was
49	443	493	787	878	guided
50	443	493	878	917	by
51	443	493	917	969	the
52	443	493	969	1090	esteemed
53	493	543	95	306	astrophysicist,
54	493	543	306	397	Jeremy
55	493	543	397	553	Schnittman,
56	493	543	553	605	who
57	493	543	605	683	would
58	493	543	683	748	help
59	493	543	748	826	shape
60	493	543	826	878	his
61	493	543	878	943	path
62	493	543	943	1047	towards
63	493	543	1047	1129	space
64	543	593	95	271	exploration.
65	593	646	95	163	Born
66	593	646	163	215	and
67	593	646	215	306	raised
68	593	646	306	345	in
69	593	646	345	501	Uzbekistan,
70	593	646	501	579	Murad
71	593	646	579	683	Rahimov
72	593	646	683	735	was
73	593	646	735	787	not
74	593	646	787	852	your
75	593	646	852	956	average
76	593	646	956	1090	teenager.
