word_index	y_top	y_bottom	x_left	x_right	word
0	190	242	95	150	The
1	190	242	150	280	Byzantine
2	190	242	280	384	Empire,
3	190	242	384	449	also
4	190	242	449	527	known
5	190	242	527	566	as
6	190	242	566	618	the
7	190	242	618	722	Eastern
8	190	242	722	800	Roman
9	190	242	800	891	Empire
10	190	242	891	930	or
11	190	242	930	1077	Byzantium,
12	242	293	95	202	existed
13	242	293	202	254	for
14	242	293	254	319	over
15	242	293	319	345	a
16	242	293	345	462	thousand
17	242	293	462	553	years,
18	242	293	553	618	from
19	242	293	618	670	the
20	242	293	670	722	5th
21	242	293	722	826	century
22	242	293	826	865	AD
23	242	293	865	904	to
24	242	293	904	982	1453.
25	242	293	982	1021	It
26	242	293	1021	1073	was
27	242	293	1073	1129	the
28	293	343	95	267	continuation
29	293	343	267	306	of
30	293	343	306	358	the
31	293	343	358	436	Roman
32	293	343	436	527	Empire
33	293	343	527	566	in
34	293	343	566	618	the
35	293	343	618	722	eastern
36	293	343	722	865	provinces,
37	293	343	865	930	with
38	293	343	930	1125	Constantinople
39	293	343	1125	1168	as
40	343	393	95	150	its
41	343	393	150	267	capital.
42	343	393	267	371	Despite
43	343	393	371	423	the
44	343	393	423	488	fall
45	343	393	488	527	of
46	343	393	527	579	the
47	343	393	579	683	Western
48	343	393	683	761	Roman
49	343	393	761	865	Empire,
50	343	393	865	917	the
51	343	393	917	1047	Byzantine
52	343	393	1047	1142	Empire
53	393	443	95	215	remained
54	393	443	215	332	Europe's
55	393	443	332	397	most
56	393	443	397	514	powerful
57	393	443	514	644	economic,
58	393	443	644	774	cultural,
59	393	443	774	826	and
60	393	443	826	943	military
61	393	443	943	1034	force.
62	393	443	1034	1090	The
63	443	493	95	189	people
64	443	493	189	228	of
65	443	493	228	280	the
66	443	493	280	371	empire
67	443	493	371	514	considered
68	443	493	514	657	themselves
69	443	493	657	748	Romans
70	443	493	748	800	and
71	443	493	800	878	their
72	443	493	878	969	empire
73	443	493	969	1008	as
74	443	493	1008	1060	the
75	443	493	1060	1142	Roman
76	493	543	95	202	Empire,
77	493	543	202	267	even
78	493	543	267	358	though
79	493	543	358	397	it
80	493	543	397	449	was
81	493	543	449	566	centered
82	493	543	566	605	in
83	493	543	605	813	Constantinople,
84	493	543	813	865	was
85	493	543	865	982	oriented
86	493	543	982	1086	towards
87	493	543	1086	1168	Greek
88	543	596	95	215	culture,
89	543	596	215	267	and
90	543	596	267	397	practiced
91	543	596	397	501	Eastern
92	543	596	501	618	Orthodox
93	543	596	618	804	Christianity.
