word_index	y_top	y_bottom	x_left	x_right	word
0	190	266	95	189	Title:
1	190	266	189	241	The
2	190	266	241	332	Secret
3	190	266	332	440	Chamber
4	266	343	95	163	Once
5	266	343	163	228	upon
6	266	343	228	254	a
7	266	343	254	332	time,
8	266	343	332	371	in
9	266	343	371	397	a
10	266	343	397	488	small,
11	266	343	488	631	unassuming
12	266	343	631	709	house
13	266	343	709	813	nestled
14	266	343	813	852	in
15	266	343	852	904	the
16	266	343	904	982	heart
17	266	343	982	1021	of
18	266	343	1021	1047	a
19	266	343	1047	1168	bustling
20	343	393	95	176	city,
21	343	393	176	254	lived
22	343	393	254	280	a
23	343	393	280	358	young
24	343	393	358	436	woman
25	343	393	436	514	named
26	343	393	514	605	Emily.
27	343	393	605	657	She
28	343	393	657	709	had
29	343	393	709	800	always
30	343	393	800	865	been
31	343	393	865	1008	fascinated
32	343	393	1008	1047	by
33	343	393	1047	1103	the
34	393	443	95	202	history
35	393	443	202	241	of
36	393	443	241	293	her
37	393	443	293	371	home,
38	393	443	371	397	a
39	393	443	397	475	place
40	393	443	475	540	that
41	393	443	540	592	had
42	393	443	592	657	been
43	393	443	657	696	in
44	393	443	696	748	her
45	393	443	748	839	family
46	393	443	839	891	for
47	393	443	891	1060	generations.
48	393	443	1060	1116	One
49	443	493	95	163	day,
50	443	493	163	241	while
51	443	493	241	371	exploring
52	443	493	371	423	the
53	443	493	423	514	attic,
54	443	493	514	566	she
55	443	493	566	683	stumbled
56	443	493	683	748	upon
57	443	493	748	774	a
58	443	493	774	865	hidden
59	443	493	865	930	room
60	443	493	930	995	that
61	443	493	995	1047	had
62	443	493	1047	1116	been
63	493	567	95	189	sealed
64	493	567	189	241	off
65	493	567	241	306	with
66	493	567	306	332	a
67	493	567	332	423	thick,
68	493	567	423	605	old-fashioned
69	493	567	605	696	wooden
70	493	567	696	778	door.
71	567	643	95	202	Emily's
72	567	643	202	280	heart
73	567	643	280	358	raced
74	567	643	358	397	as
75	567	643	397	449	she
76	567	643	449	540	pushed
77	567	643	540	592	the
78	567	643	592	657	door
79	567	643	657	735	open,
80	567	643	735	865	revealing
81	567	643	865	891	a
82	567	643	891	956	room
83	567	643	956	1021	that
84	567	643	1021	1073	had
85	567	643	1073	1142	been
86	643	696	95	189	locked
87	643	696	189	254	away
88	643	696	254	306	for
89	643	696	306	427	decades.
